Meal Name,Ingrediants,Cookbook,Chef,Dish Picture
Salmon Teriyaki & Broccolini,Olive oil,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,3 tablespoons soy sauce,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,1 + 1/2 tablespoons pure maple syrup,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,2 teaspoons toasted sesame oil,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,1 tablespoon minced fresh ginger,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,1 tablespoon minced garlic,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,1/4 tsp crushed red pepper flakes,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,4 skinless salmon filets,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,Kosher salt and ground pepper,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,1 + 1/2 pounds Broccolini,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Salmon Teriyaki & Broccolini,1 cup rice,"Ina Garten Go-To Dinners, p.150",Ina Garten,https://d14iv1hjmfkv57.cloudfront.net/assets/recipes/salmon-teriyaki-broccolini/_1200x600_crop_center-center_82_line/63928/IMG_0761.jpg?v=1708578137
Ravioli en Brodo,Olive oil,"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Ravioli en Brodo,2 cups diagonally sliced carrots (3-5 carrots),"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Ravioli en Brodo,1 + 1/2 cups diced celery,"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Ravioli en Brodo,1 + 1/2 cups diced fennel,"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Ravioli en Brodo,Better than bouillon,"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Ravioli en Brodo,1 Italian parmesean cheese rind,"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Ravioli en Brodo,1 pound cheese ravioli,"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Ravioli en Brodo,Italian parmesean cheese,"Ina Garten Go-To Dinners, p.80",Ina Garten,https://food.fnr.sndimg.com/content/dam/images/food/fullset/2024/04/18/ZPPG503-ina-garten-ravioli-en-brodo_s4x3.jpg.rend.hgtvcom.826.620.suffix/1713451556141.webp
Penne Alla Vodka Two Ways,4 tbsp salted butter ,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,2 garlic cloves minced or grated,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,1/2 tsp crushed red pepper flakes,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,1/2 cup vodka,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,1 28 oz can tomatoes crushed,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,"1/2 cup sun dried tomatoes packed in olive oil, drained and chopped","Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,Kosher salt and ground pepper,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,3/4 cup heavy cream,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,1 lb box penne pasta ,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
Penne Alla Vodka Two Ways,1 cup grated Parmesean cheese ,"Half Baked Harvest, p.126",Tieghan Gerard,https://www.izzyhaveyoueaten.com/post/pasta-a-la-vodka
